id;ad_id;lifecycle_id;metric_name;metric_value;timestamp;window_type;stage;created_at;metadata;window_size;anomalies_detected;seasonality_detected;time_period;timestamps;values;trend_direction
046a27d8-56ae-40a8-be5e-dcb5d8b48bd3;120232965437600160;lifecycle_120232965437600160;cpc;0.0000;2025-10-27 19:51:02+00;;validation;2025-10-27 18:51:02.582277+00;{};1h;false;false;1d;[];[];stable
04739145-6120-4b6d-909b-f52197d471f4;120232965440920160;lifecycle_120232965440920160;purchases;0.0000;2025-10-26 11:41:29.762237+00;;scaling;2025-10-26 10:41:29.855892+00;"{""clicks"":0,""impressions"":32}";1h;false;false;1d;[];[];stable
0481cac6-ae78-4945-9ecf-a29dd3cea924;120232215972100160;lifecycle_120232215972100160;roas;0.0000;2025-10-26 12:05:37.927604+00;;validation;2025-10-26 11:05:38.051483+00;"{""clicks"":0,""impressions"":47}";1h;false;false;1d;[];[];stable
04890b12-2869-457f-afec-5156ab9d3efa;120232215972100160;lifecycle_120232215972100160;purchases;0.0000;2025-10-27 12:21:14+00;;validation;2025-10-27 11:21:14.19739+00;{};1h;false;false;1d;[];[];stable
048b1e87-dece-487d-935e-c98fd9953eab;120232965440920160;lifecycle_120232965440920160;cpc;0.0000;2025-10-26 19:48:25.272597+00;;scaling;2025-10-26 18:48:25.405801+00;"{""clicks"":0,""impressions"":37}";1h;false;false;1d;[];[];stable
04936cf0-470c-41f0-80a4-45f7d34c143e;120232965440920160;lifecycle_120232965440920160;roas;0.0000;2025-10-26 04:31:37.534181+00;;scaling;2025-10-26 03:31:37.691537+00;"{""clicks"":0,""impressions"":18}";1h;false;false;1d;[];[];stable
049516ce-227d-444f-9a10-4996572419f6;120232965433110160;lifecycle_120232965433110160;roas;0.0000;2025-10-26 20:35:20.794496+00;;scaling;2025-10-26 19:35:20.888574+00;"{""clicks"":0,""impressions"":17}";1h;false;false;1d;[];[];stable
04994aef-152e-46b3-8eb6-9713f3d9f48e;120232215972100160;lifecycle_120232215972100160;cpa;0.0000;2025-10-25 17:41:40.721504+00;;scaling;2025-10-25 15:41:40.827109+00;"{""clicks"":0,""impressions"":107}";1h;false;false;1d;[];[];stable
049ac3c9-7515-4da0-9d84-3f82126f3750;120232056896520160;lifecycle_120232056896520160;cpa;0.0000;2025-10-25 17:06:39.022098+00;;validation;2025-10-25 15:06:39.125255+00;"{""clicks"":0,""impressions"":3}";1h;false;false;1d;[];[];stable
049cac73-1358-4399-9e6e-153346240faf;120232965423280160;lifecycle_120232965423280160;roas;0.0000;2025-10-27 10:06:13.868757+00;;scaling;2025-10-27 09:06:13.946393+00;"{""clicks"":0,""impressions"":1}";1h;false;false;1d;[];[];stable
049dd204-efbe-46b0-a09d-82f3cd4778bb;120232965437600160;lifecycle_120232965437600160;roas;0.0000;2025-10-25 17:41:27.64599+00;;validation;2025-10-25 15:41:27.768616+00;"{""clicks"":2,""impressions"":79}";1h;false;false;1d;[];[];stable
04a66699-f00d-47d3-aae8-d205385eb3d2;120232215972100160;lifecycle_120232215972100160;purchases;0.0000;2025-10-26 21:41:01.448706+00;;scaling;2025-10-26 20:41:01.535931+00;"{""clicks"":0,""impressions"":65}";1h;false;false;1d;[];[];stable
04af6413-ed70-4cbb-ac0d-91bb38cfc761;120232215972100160;lifecycle_120232215972100160;spend;3.9400;2025-10-28 20:05:48+00;;validation;2025-10-28 19:05:48.556405+00;{};1h;false;false;1d;[];[];stable
04b0e093-62bb-4bb7-a08b-66df369aa183;120232965429540160;lifecycle_120232965429540160;cpa;0.0000;2025-10-27 12:37:47+00;;validation;2025-10-27 11:37:47.693946+00;{};1h;false;false;1d;[];[];stable
04b4e999-f59a-4394-87d9-2305d66d6e1e;120232965440920160;lifecycle_120232965440920160;ctr;0.0000;2025-10-26 08:34:23.010346+00;;validation;2025-10-26 07:34:23.088319+00;"{""clicks"":0,""impressions"":31}";1h;false;false;1d;[];[];stable
04ba279a-d283-4692-9ac6-074176a5e260;120232965437600160;lifecycle_120232965437600160;roas;0.0000;2025-10-27 14:10:23+00;;scaling;2025-10-27 13:10:24.045181+00;{};1h;false;false;1d;[];[];stable
04bb83cf-4b12-4846-90a7-7f59938a5020;120232965433110160;lifecycle_120232965433110160;spend;0.0300;2025-10-28 01:43:25+00;;validation;2025-10-28 00:43:25.313524+00;{};1h;false;false;1d;[];[];stable
04c39d20-3252-4910-8c84-5638efec873e;120232965425640160;lifecycle_120232965425640160;cpa;0.0000;2025-10-26 11:05:12.123378+00;;validation;2025-10-26 10:05:12.209405+00;"{""clicks"":2,""impressions"":33}";1h;false;false;1d;[];[];stable
04c71bba-82bb-400a-a6e5-2a19b83cc09f;120232215972100160;lifecycle_120232215972100160;cpm;51.4634;2025-10-28 16:06:58+00;;scaling;2025-10-28 15:06:58.974624+00;{};1h;false;false;1d;[];[];stable
04c7c5ac-e6dc-4ae4-b130-db4cc672a4b1;120232056896520160;lifecycle_120232056896520160;cpa;0.0000;2025-10-27 13:05:22+00;;scaling;2025-10-27 12:05:22.853908+00;{};1h;false;false;1d;[];[];stable
04c7ec82-9d6c-4892-a94f-47a286d727da;120232965433110160;lifecycle_120232965433110160;cpa;0.0000;2025-10-25 17:41:52.650166+00;;scaling;2025-10-25 15:41:52.750634+00;"{""clicks"":0,""impressions"":14}";1h;false;false;1d;[];[];stable
04d28f08-3ece-401f-b2cb-4a0c9af40cc7;120232056896520160;lifecycle_120232056896520160;ctr;40.0000;2025-10-25 19:24:17.702376+00;;scaling;2025-10-25 17:24:17.818832+00;"{""clicks"":2,""impressions"":5}";1h;false;false;1d;[];[];stable
04d6bf6c-f0e0-48df-98fd-cc0276dc9177;120232965440920160;lifecycle_120232965440920160;cpm;20.0000;2025-10-27 09:08:19.901374+00;;validation;2025-10-27 08:08:19.980936+00;"{""clicks"":0,""impressions"":3}";1h;false;false;1d;[];[];stable
04d82dec-55f3-48ce-add4-57a26380d607;120232965440920160;lifecycle_120232965440920160;purchases;0.0000;2025-10-27 14:51:49+00;;validation;2025-10-27 13:51:49.785842+00;{};1h;false;false;1d;[];[];stable
04df08eb-07ec-4015-9cc7-58cdce8f9c2a;120232965433110160;lifecycle_120232965433110160;cpm;18.4615;2025-10-27 19:08:57+00;;scaling;2025-10-27 18:08:57.767691+00;{};1h;false;false;1d;[];[];stable
04e32fcf-b5ba-451e-9f40-9bb4ff03d0df;120232965435960160;lifecycle_120232965435960160;cpa;0.0000;2025-10-28 07:06:32+00;;validation;2025-10-28 06:06:32.768177+00;{};1h;false;false;1d;[];[];stable
04e92889-9c3b-4f0d-ad22-e754eb965e06;120233121784780160;lifecycle_120233121784780160;cpc;8.2033;2025-10-28 19:53:36+00;;scaling;2025-10-28 18:53:37.03576+00;{};1h;false;false;1d;[];[];stable
04f58105-3996-4bed-a07f-5794d48f2530;120232965440920160;lifecycle_120232965440920160;spend;0.8100;2025-10-26 03:28:40.741726+00;;validation;2025-10-26 02:28:40.823426+00;"{""clicks"":0,""impressions"":11}";1h;false;false;1d;[];[];stable
04fddad2-85db-4a9a-846d-b8fb1c08d0f2;120232056896520160;lifecycle_120232056896520160;cpm;363.3333;2025-10-25 17:07:09.211636+00;;scaling;2025-10-25 15:07:09.319778+00;"{""clicks"":0,""impressions"":3}";1h;false;false;1d;[];[];stable
050759b2-5735-4ea1-9388-27b7895cdbce;120232965433110160;lifecycle_120232965433110160;ctr;0.0000;2025-10-28 19:48:32+00;;validation;2025-10-28 18:48:32.960445+00;{};1h;false;false;1d;[];[];stable
050f256a-40d5-4340-af3b-0dabe2f397c7;120232965433110160;lifecycle_120232965433110160;purchases;0.0000;2025-10-28 18:43:58+00;;scaling;2025-10-28 17:43:58.722973+00;{};1h;false;false;1d;[];[];stable
0519202b-38d5-4ca2-8aa1-f439fdacc833;120233121784780160;lifecycle_120233121784780160;cpa;0.0000;2025-10-27 23:42:39+00;;scaling;2025-10-27 22:42:39.249702+00;{};1h;false;false;1d;[];[];stable
051a4b8f-c7f8-4512-84ca-d89193615c5e;120232965433110160;lifecycle_120232965433110160;cpm;96.0000;2025-10-26 14:40:52.041366+00;;validation;2025-10-26 13:40:52.128433+00;"{""clicks"":0,""impressions"":15}";1h;false;false;1d;[];[];stable
051f78c0-7b61-4ae5-82df-d358eda28829;120233129307020160;lifecycle_120233129307020160;ctr;0.0000;2025-10-28 00:35:36+00;;scaling;2025-10-27 23:35:36.642399+00;{};1h;false;false;1d;[];[];stable
0526a4aa-a291-4b28-be74-3bf90e1749c7;120232215972100160;lifecycle_120232215972100160;purchases;0.0000;2025-10-28 05:06:29+00;;scaling;2025-10-28 04:06:30.086748+00;{};1h;false;false;1d;[];[];stable
05276db5-a1de-479c-907f-ce63cebba1d4;120232965425640160;lifecycle_120232965425640160;cpc;0.0000;2025-10-25 15:08:18.523096+00;;scaling;2025-10-25 13:08:18.645805+00;"{""clicks"":0,""impressions"":14}";1h;false;false;1d;[];[];stable
0528f96a-4c18-4a27-9e47-8516c3105881;120232965425640160;lifecycle_120232965425640160;cpm;166.1667;2025-10-26 19:48:13.013893+00;;scaling;2025-10-26 18:48:13.162685+00;"{""clicks"":3,""impressions"":60}";1h;false;false;1d;[];[];stable
052dc2fe-0886-43c3-be54-3e82710d2476;120232215972100160;lifecycle_120232215972100160;spend;3.9400;2025-10-28 19:49:03+00;;scaling;2025-10-28 18:49:03.710456+00;{};1h;false;false;1d;[];[];stable
052f9643-6720-4bcf-bc0e-57ebc94ae21b;120232965440920160;lifecycle_120232965440920160;cpm;104.2857;2025-10-28 17:05:50+00;;validation;2025-10-28 16:05:50.255707+00;{};1h;false;false;1d;[];[];stable
052ffe02-9a9a-4d7b-95a5-fe54d5930411;120232965433110160;lifecycle_120232965433110160;cpa;0.0000;2025-10-27 23:50:56+00;;validation;2025-10-27 22:50:56.568379+00;{};1h;false;false;1d;[];[];stable
0530aceb-f2f3-40d0-883b-c5bb8dc6fe9a;120232965433110160;lifecycle_120232965433110160;spend;0.9000;2025-10-28 19:27:54+00;;scaling;2025-10-28 18:27:54.449548+00;{};1h;false;false;1d;[];[];stable
0534d5ce-0c5c-47b2-9f22-cde75943df62;120232965423280160;lifecycle_120232965423280160;cpc;0.0000;2025-10-25 17:41:45.502519+00;;scaling;2025-10-25 15:41:45.608923+00;"{""clicks"":0,""impressions"":1}";1h;false;false;1d;[];[];stable
05365ccf-f7c4-43ae-99a0-8962a67cf564;120232965425640160;lifecycle_120232965425640160;spend;12.7600;2025-10-27 14:52:07+00;;scaling;2025-10-27 13:52:07.471231+00;{};1h;false;false;1d;[];[];stable
05388c6c-c713-42db-a2a9-14297674c43f;120233129307020160;lifecycle_120233129307020160;purchases;0.0000;2025-10-28 15:06:11+00;;validation;2025-10-28 14:06:11.765321+00;{};1h;false;false;1d;[];[];stable
05390dcb-0515-4239-8101-d1cecd8f6760;120232965423280160;lifecycle_120232965423280160;roas;0.0000;2025-10-25 15:44:27.048038+00;;scaling;2025-10-25 13:44:27.132447+00;"{""clicks"":0,""impressions"":1}";1h;false;false;1d;[];[];stable
0544f4df-7410-41dc-87ea-13e79660e851;120232965440920160;lifecycle_120232965440920160;spend;0.0500;2025-10-28 12:36:20+00;;scaling;2025-10-28 11:36:20.79119+00;{};1h;false;false;1d;[];[];stable
054fa878-d65c-49cc-9d81-015b3a9eb1f0;120233121784780160;lifecycle_120233121784780160;roas;0.0000;2025-10-27 23:28:23+00;;scaling;2025-10-27 22:28:23.308168+00;{};1h;false;false;1d;[];[];stable
0557c8a3-c996-4b23-9074-044ad41ec85b;120232965440920160;lifecycle_120232965440920160;cpc;0.7500;2025-10-28 19:06:56+00;;scaling;2025-10-28 18:06:57.058847+00;{};1h;false;false;1d;[];[];stable
055b5045-979f-4508-86b1-b2ff9661e8fa;120232215972100160;lifecycle_120232215972100160;ctr;0.0000;2025-10-25 13:53:49.979181+00;;scaling;2025-10-25 11:53:50.091343+00;"{""clicks"":0,""impressions"":97}";1h;false;false;1d;[];[];stable
